,Initial,Final
0,2023-02-14 15:04:07.543914,2023-02-14 15:04:13.373812
1,2023-02-14 15:04:14.044071,2023-02-14 15:04:17.772313
2,2023-02-14 15:04:18.344784,2023-02-14 15:04:26.734968
3,2023-02-14 15:04:27.559242,2023-02-14 15:04:30.561999
4,2023-02-14 15:04:31.585383,2023-02-14 15:04:34.062336
5,2023-02-14 15:04:34.986573,2023-02-14 15:04:38.662746
6,2023-02-14 15:04:39.986986,2023-02-14 15:04:42.327640
7,2023-02-14 15:04:47.183616,2023-02-14 15:04:49.525065
8,2023-02-14 15:04:50.748811,2023-02-14 15:04:54.557116
9,2023-02-14 15:04:55.227432,2023-02-14 15:05:04.119486
10,2023-02-14 15:05:04.593664,2023-02-14 15:05:11.215103
11,2023-02-14 15:05:12.206776,2023-02-14 15:05:15.980338
12,2023-02-14 15:05:18.437754,2023-02-14 15:05:19.015088
13,2023-02-14 15:05:20.370433,2023-02-14 15:05:20.911929
14,2023-02-14 15:05:21.418734,2023-02-14 15:05:22.012405
15,2023-02-14 15:05:34.464444,2023-02-14 15:05:34.539786
16,2023-02-14 15:05:35.665793,2023-02-14 15:05:37.739328
17,2023-02-14 15:05:40.262526,2023-02-14 15:05:40.838943
18,2023-02-14 15:05:42.495058,2023-02-14 15:05:43.036748
19,2023-02-14 15:05:43.573986,2023-02-14 15:05:45.453784
